計劃年度,主持人,執行機關,計劃名稱,執行起迄,核定金額
"102","何東垣","國立高雄餐旅大學","中央研究院環境變遷研究中心","西菲律賓海微量金屬的生物地球化學: 組成、來源、通量及與浮游植物的互動","2013/08/01~2016/07/31","4385000"
"102","何東憲","國立臺北教育大學","國立臺北教育大學兒童英語教育學系（所）","具高英文寫作能力的EFL大學生其英文短篇寫作策略「模組」之研究","2013/08/01~2014/07/31","589000"
"102","何筱文","元智大學","元智大學國際企業學系","以國際策略聯盟夥伴國家來源與互動關係解釋跨國知識取得的過程與結果","2013/11/01~2014/10/31","294000"
"102","何佳瑞","輔仁大學","輔仁大學學校財團法人輔仁大學天主教學術研究院","馬里旦(Jacques Maritain)之藝術創作理論與藝術教育","2013/08/01~2014/07/31","559000"
"102","何佳安","國立臺灣大學","國立臺灣大學生化科技學系","磷脂質修飾奈米/微米材料之設計與合成：生化感測及蛋白質純化之應用","2013/08/01~2017/07/31","11115000"
"102","何艷宏","逢甲大學","逢甲大學財稅學系","我國地方政府財政健康狀況之研究(II)","2013/08/01~2014/07/31","457000"
"102","何承懋","國立臺灣大學","國立臺灣大學醫學院外科","急性肝損傷大鼠接受肝細胞及間質幹細胞互利共生移植以進一步提升殖入及繁盛率","2013/08/01~2014/07/31","1100000"
"102","何境峰","修平學校財團法人修平科技大學","修平學校財團法人修平科技大學工業工程與管理系","導入萃思與精實創新手法開發汽車模組化零組件專利設計","2013/06/01~2014/05/31","273000"
"102","何善輝","國立臺北大學","國立臺北大學電機工程研究所","運用生物資訊計算於癌症基因定序最佳化：癌症基因重組和比對(I)","2013/08/01~2014/07/31","732000"
"102","何文福","大葉大學","大葉大學材料科學與工程學系","牙科用新型Ti-Si合金之切削加工性能評估及製備生物活性表面結構與磷灰石層特性之研究","2013/08/01~2015/07/31","1886000"
"102","何文宗","德明財經科技大學","德明財經科技大學企業管理系(科)","具隨機需求與等批量配送策略下之經濟批量排程問題研究","2013/08/01~2014/07/31","328000"
"102","何文岳","嘉南藥理科技大學","嘉南藥理科技大學化妝品應用與管理系(含化妝品科技碩士班)","含咪唑主鏈之聚離子液體合成與其物化性質研究(III)","2013/08/01~2014/07/31","837000"
"102","何文章","國立臺北科技大學","國立臺北科技大學光電工程系（所）","串級式單電極強度調變器光四倍頻調變之光纖/無線射頻(ROF)雙向通訊傳輸系統","2013/06/01~2014/05/31","592000"
